PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 6076 C,12025,22,17,-10
PANTONE 6077 C,12026,19,10,-5
PANTONE 6078 C,12027,67,24,-25
PANTONE 6079 C,12028,60,30,-28
PANTONE 608 C,12029,88,-6,44
PANTONE 6080 C,12030,53,32,-30
PANTONE 6081 C,12031,50,35,-32
PANTONE 6082 C,12032,44,36,-31
PANTONE 6083 C,12033,38,38,-32
PANTONE 6084 C,12034,34,36,-30
PANTONE 6085 C,12035,83,2,-16
PANTONE 6086 C,12036,74,2,-20
PANTONE 6087 C,12037,69,3,-22
PANTONE 6088 C,12038,63,4,-26
PANTONE 6089 C,12039,58,5,-32
PANTONE 609 C,12040,88,-7,50
PANTONE 6090 C,12041,50,7,-32
PANTONE 6091 C,12042,42,7,-35
PANTONE 6092 C,12043,61,8,-30
PANTONE 6093 C,12044,58,8,-32
PANTONE 6094 C,12045,53,10,-34
PANTONE 6095 C,12046,50,11,-37
PANTONE 6096 C,12047,43,13,-39
PANTONE 6097 C,12048,37,14,-42
PANTONE 6098 C,12049,32,15,-42
PANTONE 6099 C,12050,68,1,-32
PANTONE 610 C,12051,85,-6,62
PANTONE 6100 C,12052,60,2,-33
PANTONE 6101 C,12053,54,4,-39
PANTONE 6102 C,12054,50,4,-38
PANTONE 6103 C,12055,36,8,-41
PANTONE 6104 C,12056,27,13,-48
PANTONE 6105 C,12057,26,13,-45
PANTONE 6106 C,12058,77,-1,-13
PANTONE 6107 C,12059,73,-1,-16
PANTONE 6108 C,12060,66,-3,-18
PANTONE 6109 C,12061,58,-3,-21
PANTONE 611 C,12062,80,-7,73
PANTONE 6110 C,12063,56,-3,-21
PANTONE 6111 C,12064,50,-3,-22
PANTONE 6112 C,12065,38,-5,-24
PANTONE 6113 C,12066,55,-8,-13
PANTONE 6114 C,12067,52,-7,-13
PANTONE 6115 C,12068,47,-8,-12
PANTONE 6116 C,12069,42,-8,-13
PANTONE 6117 C,12070,39,-8,-12
PANTONE 6118 C,12071,28,-7,-7
PANTONE 6119 C,12072,25,-6,-6
PANTONE 612 C,12073,72,-4,72
PANTONE 6120 C,12074,63,-19,-35
PANTONE 6121 C,12075,60,-21,-37
PANTONE 6122 C,12076,54,-16,-40
PANTONE 6123 C,12077,52,-15,-41
PANTONE 6124 C,12078,49,-13,-41
PANTONE 6125 C,12079,46,-13,-38
PANTONE 6126 C,12080,38,-5,-42
PANTONE 6127 C,12081,68,-21,-22
PANTONE 6128 C,12082,62,-26,-23
PANTONE 6129 C,12083,56,-27,-25
PANTONE 613 C,12084,65,-1,66
PANTONE 6130 C,12085,51,-25,-23
PANTONE 6131 C,12086,44,-21,-22
PANTONE 6132 C,12087,47,-21,-26
PANTONE 6133 C,12088,39,-18,-24
PANTONE 6134 C,12089,77,-23,-13
PANTONE 6135 C,12090,71,-22,-12
PANTONE 6136 C,12091,63,-28,-12
PANTONE 6137 C,12092,59,-30,-11
PANTONE 6138 C,12093,54,-33,-12
PANTONE 6139 C,12094,50,-31,-11
PANTONE 614 C,12095,85,-5,30
PANTONE 6140 C,12096,47,-30,-10
PANTONE 6141 C,12097,78,-26,-4
PANTONE 6142 C,12098,72,-33,0
PANTONE 6143 C,12099,64,-43,3
PANTONE 6144 C,12100,60,-45,7
PANTONE 6145 C,12101,55,-43,10
PANTONE 6146 C,12102,51,-42,13
PANTONE 6147 C,12103,47,-40,15
PANTONE 6148 C,12104,89,-4,-8
PANTONE 6149 C,12105,84,-8,-7
PANTONE 615 C,12106,83,-5,33
PANTONE 6150 C,12107,78,-14,-5
PANTONE 6151 C,12108,71,-20,-6
PANTONE 6152 C,12109,62,-25,0
PANTONE 6153 C,12110,53,-27,3
PANTONE 6154 C,12111,45,-32,8
PANTONE 6155 C,12112,64,-22,2
PANTONE 6156 C,12113,58,-25,5
PANTONE 6157 C,12114,53,-28,7
PANTONE 6158 C,12115,48,-31,9
PANTONE 6159 C,12116,42,-33,7
PANTONE 616 C,12117,80,-5,34
PANTONE 6160 C,12118,35,-30,10
PANTONE 6161 C,12119,28,-23,6
PANTONE 6162 C,12120,63,-42,15
PANTONE 6163 C,12121,59,-48,18
PANTONE 6164 C,12122,58,-48,19
PANTONE 6165 C,12123,54,-47,23
PANTONE 6166 C,12124,51,-46,26
PANTONE 6167 C,12125,43,-41,24
PANTONE 6168 C,12126,44,-40,21
PANTONE 6169 C,12127,70,-34,23
PANTONE 617 C,12128,74,-5,44
PANTONE 6170 C,12129,66,-34,23
PANTONE 6171 C,12130,62,-36,27
PANTONE 6172 C,12131,56,-33,24
PANTONE 6173 C,12132,50,-40,29
PANTONE 6174 C,12133,47,-38,27
PANTONE 6175 C,12134,43,-31,22
PANTONE 6176 C,12135,75,-18,9
PANTONE 6177 C,12136,68,-20,11
PANTONE 6178 C,12137,63,-25,15
PANTONE 6179 C,12138,57,-28,17
PANTONE 618 C,12139,65,-4,50
PANTONE 6180 C,12140,52,-30,18
PANTONE 6181 C,12141,49,-31,20
PANTONE 6182 C,12142,44,-31,21
PANTONE 6183 C,12143,55,-9,9
PANTONE 6184 C,12144,52,-11,10
PANTONE 6185 C,12145,47,-11,12
PANTONE 6186 C,12146,41,-11,12
PANTONE 6187 C,12147,38,-10,12
PANTONE 6188 C,12148,33,-10,12
PANTONE 6189 C,12149,24,-9,5
PANTONE 619 C,12150,60,-3,52
PANTONE 6190 C,12151,92,-9,22
PANTONE 6191 C,12152,91,-10,31
PANTONE 6192 C,12153,87,-17,48
PANTONE 6193 C,12154,83,-20,67
PANTONE 6194 C,12155,78,-23,75
PANTONE 6195 C,12156,69,-24,68
PANTONE 6196 C,12157,68,-24,67
PANTONE 6197 C,12158,87,-2,2
PANTONE 6198 C,12159,81,-3,4
PANTONE 6199 C,12160,76,-4,8
PANTONE 620 C,12161,52,-2,50
PANTONE 6200 C,12162,74,-4,10
PANTONE 6201 C,12163,66,-5,13
PANTONE 6202 C,12164,62,-6,15
PANTONE 6203 C,12165,59,-5,17
PANTONE 6204 C,12166,67,-1,9
PANTONE 6205 C,12167,60,-1,13
PANTONE 6206 C,12168,57,-1,14
PANTONE 6207 C,12169,54,-1,14
PANTONE 6208 C,12170,47,0,16
PANTONE 6209 C,12171,42,-1,16
PANTONE 621 C,12172,88,-8,2
PANTONE 6210 C,12173,38,-2,17
PANTONE 6211 C,12174,61,-3,-5
PANTONE 6212 C,12175,55,-3,-5
PANTONE 6213 C,12176,50,-2,-4
PANTONE 6214 C,12177,47,-2,-3
PANTONE 6215 C,12178,43,-3,-3
PANTONE 6216 C,12179,35,-1,-1
PANTONE 6217 C,12180,31,-2,1
PANTONE 6218 C,12181,65,-2,-9
PANTONE 6219 C,12182,59,-4,-9
PANTONE 622 C,12183,80,-9,1
PANTONE 6220 C,12184,54,-3,-8
PANTONE 6221 C,12185,50,-4,-8
PANTONE 6222 C,12186,46,-4,-8
PANTONE 6223 C,12187,39,-4,-9
PANTONE 6224 C,12188,35,-5,-8
PANTONE 623 C,12189,73,-13,2
PANTONE 624 C,12190,62,-17,3
PANTONE 625 C,12191,50,-20,2
PANTONE 626 C,12192,35,-22,3
PANTONE 627 C,12193,18,-13,-1
PANTONE 628 C,12194,86,-12,-8
PANTONE 629 C,12195,81,-17,-12
PANTONE 630 C,12196,75,-22,-16
PANTONE 631 C,12197,67,-28,-22
PANTONE 632 C,12198,56,-26,-26
PANTONE 633 C,12199,45,-19,-27
PANTONE 634 C,12200,37,-14,-28
PANTONE 635 C,12201,84,-16,-13
PANTONE 636 C,12202,81,-21,-17
PANTONE 637 C,12203,73,-28,-25
PANTONE 638 C,12204,66,-28,-32
PANTONE 639 C,12205,57,-21,-36
PANTONE 640 C,12206,51,-15,-39
PANTONE 641 C,12207,41,-9,-39
PANTONE 642 C,12208,87,-3,-7
PANTONE 643 C,12209,85,-4,-9
PANTONE 644 C,12210,73,-5,-17
PANTONE 645 C,12211,65,-7,-23
PANTONE 646 C,12212,55,-7,-28
PANTONE 647 C,12213,39,-7,-34
PANTONE 648 C,12214,19,2,-34
PANTONE 649 C,12215,89,-2,-5
PANTONE 650 C,12216,86,-3,-8
PANTONE 651 C,12217,75,-3,-16
PANTONE 652 C,12218,63,-5,-22
PANTONE 653 C,12219,40,-4,-34
PANTONE 654 C,12220,24,0,-36
PANTONE 655 C,12221,15,3,-33
PANTONE 656 C,12222,91,-2,-4
PANTONE 657 C,12223,85,-3,-12
PANTONE 658 C,12224,80,-4,-18
PANTONE 659 C,12225,66,-4,-33
PANTONE 660 C,12226,52,-3,-46
PANTONE 661 C,12227,25,18,-58
PANTONE 662 C,12228,14,23,-53
PANTONE 663 C,12229,90,2,-3
PANTONE 664 C,12230,88,3,-4
PANTONE 665 C,12231,78,6,-9
PANTONE 666 C,12232,63,10,-15
PANTONE 667 C,12233,47,13,-20
PANTONE 668 C,12234,36,16,-23
PANTONE 669 C,12235,21,17,-24
PANTONE 670 C,12236,87,9,-4
PANTONE 671 C,12237,81,19,-8
PANTONE 672 C,12238,73,29,-12
PANTONE 673 C,12239,66,37,-13
PANTONE 674 C,12240,53,50,-15
PANTONE 675 C,12241,41,58,-11
PANTONE 676 C,12242,32,56,-2
PANTONE 677 C,12243,85,9,-3
PANTONE 678 C,12244,83,12,-5
PANTONE 679 C,12245,80,14,-6
PANTONE 680 C,12246,68,23,-9
PANTONE 681 C,12247,54,31,-11
PANTONE 682 C,12248,42,38,-11
PANTONE 683 C,12249,31,40,-8
PANTONE 684 C,12250,83,12,-3
PANTONE 685 C,12251,78,17,-5
PANTONE 686 C,12252,71,20,-6
PANTONE 687 C,12253,62,25,-8
PANTONE 688 C,12254,51,32,-10
PANTONE 689 C,12255,37,37,-10
PANTONE 690 C,12256,24,32,-6
PANTONE 691 C,12257,85,9,2
PANTONE 692 C,12258,80,14,2
PANTONE 693 C,12259,72,20,3
PANTONE 694 C,12260,62,26,4
PANTONE 695 C,12261,54,31,4
PANTONE 696 C,12262,42,35,7
PANTONE 697 C,12263,36,34,10
PANTONE 698 C,12264,88,11,2
PANTONE 699 C,12265,83,19,1
PANTONE 700 C,12266,77,27,4
PANTONE 701 C,12267,67,39,6
PANTONE 702 C,12268,55,48,10
PANTONE 703 C,12269,44,51,19
PANTONE 704 C,12270,37,47,26
PANTONE 705 C,12271,90,9,1
PANTONE 706 C,12272,86,15,1
PANTONE 707 C,12273,80,26,1
PANTONE 708 C,12274,72,41,6
PANTONE 709 C,12275,61,57,15
PANTONE 710 C,12276,53,63,27
PANTONE 711 C,12277,46,61,39
PANTONE 712 C,12278,85,14,29
PANTONE 713 C,12279,82,19,36
PANTONE 714 C,12280,77,25,49
PANTONE 715 C,12281,69,36,63
PANTONE 716 C,12282,63,41,69
PANTONE 717 C,12283,55,45,63
PANTONE 718 C,12284,48,43,58
PANTONE 719 C,12285,83,10,23
PANTONE 720 C,12286,78,13,29
PANTONE 721 C,12287,72,17,36
PANTONE 722 C,12288,61,22,45
PANTONE 723 C,12289,52,26,48
PANTONE 724 C,12290,41,27,45
PANTONE 725 C,12291,35,25,35
PANTONE 726 C,12292,80,8,20
PANTONE 727 C,12293,76,9,24
PANTONE 728 C,12294,70,12,28
PANTONE 729 C,12295,58,16,34
PANTONE 730 C,12296,48,19,40
PANTONE 731 C,12297,34,21,37
PANTONE 732 C,12298,27,18,30
PANTONE 7401 C,12299,91,-1,32
PANTONE 7402 C,12300,87,0,33
PANTONE 7403 C,12301,86,1,42
PANTONE 7404 C,12302,88,-3,74
PANTONE 7405 C,12303,84,2,82
PANTONE 7406 C,12304,81,6,81
PANTONE 7407 C,12305,69,8,46
PANTONE 7408 C,12306,80,11,81
PANTONE 7409 C,12307,77,14,73
PANTONE 7410 C,12308,78,25,40
PANTONE 7411 C,12309,74,18,47
PANTONE 7412 C,12310,62,27,53
PANTONE 7413 C,12311,64,29,56
PANTONE 7414 C,12312,55,30,56
PANTONE 7415 C,12313,79,14,14
PANTONE 7416 C,12314,60,47,36
PANTONE 7417 C,12315,54,56,44
PANTONE 7418 C,12316,52,48,21
PANTONE 7419 C,12317,46,43,12
PANTONE 7420 C,12318,36,51,13
PANTONE 7421 C,12319,24,34,5
PANTONE 7422 C,12320,86,15,2
PANTONE 7423 C,12321,59,52,5
PANTONE 7424 C,12322,55,64,0
PANTONE 7425 C,12323,41,58,9
PANTONE 7426 C,12324,36,56,16
PANTONE 7427 C,12325,34,50,23
PANTONE 7428 C,12326,28,30,2
PANTONE 7429 C,12327,80,16,-3
PANTONE 7430 C,12328,74,22,-4
PANTONE 7431 C,12329,62,32,-5
PANTONE 7432 C,12330,51,39,-2
PANTONE 7433 C,12331,42,47,0
PANTONE 7434 C,12332,38,45,2
PANTONE 7435 C,12333,33,44,-3
PANTONE 7436 C,12334,89,8,-5
PANTONE 7437 C,12335,75,15,-13
PANTONE 7438 C,12336,72,27,-21
PANTONE 7439 C,12337,62,22,-19
PANTONE 7440 C,12338,56,23,-19
PANTONE 7441 C,12339,50,40,-42
PANTONE 7442 C,12340,43,52,-52
PANTONE 7443 C,12341,88,2,-7
PANTONE 7444 C,12342,76,5,-19
PANTONE 7445 C,12343,68,7,-17
PANTONE 7446 C,12344,58,13,-35
PANTONE 7447 C,12345,34,17,-25
PANTONE 7448 C,12346,26,11,-9
PANTONE 7449 C,12347,20,15,-8
PANTONE 7450 C,12348,79,0,-12
PANTONE 7451 C,12349,69,-2,-33
PANTONE 7452 C,12350,62,6,-40
PANTONE 7453 C,12351,67,-4,-34
PANTONE 7454 C,12352,57,-10,-25
PANTONE 7455 C,12353,40,8,-49
PANTONE 7456 C,12354,48,8,-39
PANTONE 7457 C,12355,86,-11,-9
PANTONE 7458 C,12356,69,-17,-19
PANTONE 7459 C,12357,58,-21,-23
PANTONE 7460 C,12358,52,-16,-39
PANTONE 7461 C,12359,49,-13,-41
PANTONE 7462 C,12360,34,-5,-38
PANTONE 7463 C,12361,16,-4,-24
PANTONE 7464 C,12362,80,-18,-2
PANTONE 7465 C,12363,71,-40,-1
PANTONE 7466 C,12364,65,-37,-16
PANTONE 7467 C,12365,61,-34,-16
PANTONE 7468 C,12366,45,-18,-29
PANTONE 7469 C,12367,37,-13,-29
PANTONE 7470 C,12368,35,-18,-20
PANTONE 7471 C,12369,82,-32,-5
PANTONE 7472 C,12370,69,-30,-6
PANTONE 7473 C,12371,57,-36,-2
PANTONE 7474 C,12372,45,-26,-14
PANTONE 7475 C,12373,48,-18,-7
PANTONE 7476 C,12374,31,-20,-10
PANTONE 7477 C,12375,30,-12,-13
PANTONE 7478 C,12376,85,-29,10
PANTONE 7479 C,12377,74,-58,29
PANTONE 7480 C,12378,68,-56,28
PANTONE 7481 C,12379,65,-58,39
PANTONE 7482 C,12380,57,-51,31
PANTONE 7483 C,12381,35,-26,15
PANTONE 7484 C,12382,32,-30,8
PANTONE 7485 C,12383,87,-10,15
PANTONE 7486 C,12384,86,-24,33
PANTONE 7487 C,12385,81,-41,49
PANTONE 7488 C,12386,78,-47,56
PANTONE 7489 C,12387,64,-31,40
PANTONE 7490 C,12388,59,-26,36
PANTONE 7491 C,12389,54,-13,36
PANTONE 7492 C,12390,80,-14,36
PANTONE 7493 C,12391,78,-11,24
PANTONE 7494 C,12392,69,-12,17
PANTONE 7495 C,12393,61,-14,45
PANTONE 7496 C,12394,54,-17,50
PANTONE 7497 C,12395,48,-1,15
PANTONE 7498 C,12396,40,-9,23
PANTONE 7499 C,12397,91,-3,27
PANTONE 7500 C,12398,84,0,22
PANTONE 7501 C,12399,81,1,23
PANTONE 7502 C,12400,76,3,26
PANTONE 7503 C,12401,64,-1,28
PANTONE 7504 C,12402,53,7,19
PANTONE 7505 C,12403,44,11,23
PANTONE 7506 C,12404,88,2,22
PANTONE 7507 C,12405,87,10,33
PANTONE 7508 C,12406,78,9,34
PANTONE 7509 C,12407,71,13,41
PANTONE 7510 C,12408,62,18,48
PANTONE 7511 C,12409,56,20,51
PANTONE 7512 C,12410,49,23,49
PANTONE 7513 C,12411,78,14,13
PANTONE 7514 C,12412,71,16,22
PANTONE 7515 C,12413,63,19,27
PANTONE 7516 C,12414,44,26,36
PANTONE 7517 C,12415,37,27,34
PANTONE 7518 C,12416,37,12,10
PANTONE 7519 C,12417,34,6,11
PANTONE 7520 C,12418,81,14,13
PANTONE 7521 C,12419,67,11,18
PANTONE 7522 C,12420,53,28,25
PANTONE 7523 C,12421,49,32,17
PANTONE 7524 C,12422,46,33,22
PANTONE 7525 C,12423,49,17,23
PANTONE 7526 C,12424,35,34,35
PANTONE 7527 C,12425,84,-1,7
PANTONE 7528 C,12426,76,2,7
PANTONE 7529 C,12427,70,2,8
PANTONE 7530 C,12428,62,3,11
PANTONE 7531 C,12429,45,4,13
PANTONE 7532 C,12430,36,5,13
PANTONE 7533 C,12431,25,5,12
PANTONE 7534 C,12432,82,-1,7
PANTONE 7535 C,12433,72,-1,11
PANTONE 7536 C,12434,66,-1,12
PANTONE 7537 C,12435,70,-3,4
PANTONE 7538 C,12436,63,-5,5
PANTONE 7539 C,12437,60,-2,3
PANTONE 7540 C,12438,33,-1,-4
PANTONE 7541 C,12439,89,-3,-2
PANTONE 7542 C,12440,75,-8,-6
PANTONE 7543 C,12441,67,-3,-7
PANTONE 7544 C,12442,55,-4,-10
PANTONE 7545 C,12443,35,-5,-12
PANTONE 7546 C,12444,22,-5,-12
PANTONE 7547 C,12445,11,-3,-10
PANTONE 7548 C,12446,83,10,83
PANTONE 7549 C,12447,79,19,81
PANTONE 7550 C,12448,65,18,69
PANTONE 7551 C,12449,57,15,62
PANTONE 7552 C,12450,38,9,35
PANTONE 7553 C,12451,31,5,24
PANTONE 7554 C,12452,27,4,14
PANTONE 7555 C,12453,69,11,68
PANTONE 7556 C,12454,61,10,58
PANTONE 7557 C,12455,54,7,50
PANTONE 7558 C,12456,50,9,45
PANTONE 7559 C,12457,48,10,40
PANTONE 7560 C,12458,44,5,33
PANTONE 7561 C,12459,41,1,25
PANTONE 7562 C,12460,66,7,35
PANTONE 7563 C,12461,68,16,61
PANTONE 7564 C,12462,65,26,69
PANTONE 7565 C,12463,59,29,56
PANTONE 7566 C,12464,50,27,39
PANTONE 7567 C,12465,41,19,30
PANTONE 7568 C,12466,38,14,23
PANTONE 7569 C,12467,64,26,60
PANTONE 7570 C,12468,63,26,57
PANTONE 7571 C,12469,60,24,51
PANTONE 7572 C,12470,55,23,45
PANTONE 7573 C,12471,50,23,43
PANTONE 7574 C,12472,49,18,36
PANTONE 7575 C,12473,43,12,31
PANTONE 7576 C,12474,65,29,43
PANTONE 7577 C,12475,63,35,51
PANTONE 7578 C,12476,59,42,52
PANTONE 7579 C,12477,55,50,52
PANTONE 7580 C,12478,49,43,41
PANTONE 7581 C,12479,39,24,25
PANTONE 7582 C,12480,34,11,15
PANTONE 7583 C,12481,53,37,47
PANTONE 7584 C,12482,50,37,46
PANTONE 7585 C,12483,49,31,37
PANTONE 7586 C,12484,44,29,34
PANTONE 7587 C,12485,41,28,31
PANTONE 7588 C,12486,38,17,23
PANTONE 7589 C,12487,32,7,12
PANTONE 7590 C,12488,76,8,16
PANTONE 7591 C,12489,59,23,31
PANTONE 7592 C,12490,48,36,38
PANTONE 7593 C,12491,40,37,32
PANTONE 7594 C,12492,34,28,22
PANTONE 7595 C,12493,31,19,17
PANTONE 7596 C,12494,29,13,13
PANTONE 7597 C,12495,50,56,49
PANTONE 7598 C,12496,47,47,42
PANTONE 7599 C,12497,43,47,40
PANTONE 7600 C,12498,37,33,28
PANTONE 7601 C,12499,36,27,26
PANTONE 7602 C,12500,37,19,23
PANTONE 7603 C,12501,32,15,17
PANTONE 7604 C,12502,87,5,2
PANTONE 7605 C,12503,79,13,9
PANTONE 7606 C,12504,68,24,15
PANTONE 7607 C,12505,56,33,22
PANTONE 7608 C,12506,43,37,26
PANTONE 7609 C,12507,35,30,20
PANTONE 7610 C,12508,29,23,12
PANTONE 7611 C,12509,79,11,10
PANTONE 7612 C,12510,68,17,13
PANTONE 7613 C,12511,62,18,14
PANTONE 7614 C,12512,57,14,11
PANTONE 7615 C,12513,47,12,7
PANTONE 7616 C,12514,36,12,5
PANTONE 7617 C,12515,29,12,4
PANTONE 7618 C,12516,56,33,33
PANTONE 7619 C,12517,48,45,37
PANTONE 7620 C,12518,43,53,36
PANTONE 7621 C,12519,39,54,33
PANTONE 7622 C,12520,34,45,24
PANTONE 7623 C,12521,33,41,23
PANTONE 7624 C,12522,32,35,20
PANTONE 7625 C,12523,55,55,42
PANTONE 7626 C,12524,46,57,44
PANTONE 7627 C,12525,39,50,32
PANTONE 7628 C,12526,37,47,29
PANTONE 7629 C,12527,30,26,12
PANTONE 7630 C,12528,27,22,11
PANTONE 7631 C,12529,24,20,8
PANTONE 7632 C,12530,82,5,0
PANTONE 7633 C,12531,70,12,2
PANTONE 7634 C,12532,55,38,1
PANTONE 7635 C,12533,47,58,9
PANTONE 7636 C,12534,42,61,17
PANTONE 7637 C,12535,36,43,9
PANTONE 7638 C,12536,31,36,7
PANTONE 7639 C,12537,50,16,2
PANTONE 7640 C,12538,39,37,5
PANTONE 7641 C,12539,34,43,6
PANTONE 7642 C,12540,30,33,-2
PANTONE 7643 C,12541,28,27,-2
PANTONE 7644 C,12542,25,22,-4
PANTONE 7645 C,12543,23,19,-2
PANTONE 7646 C,12544,53,24,-5
PANTONE 7647 C,12545,43,48,-6
PANTONE 7648 C,12546,36,53,-10
PANTONE 7649 C,12547,32,50,-13
PANTONE 7650 C,12548,28,40,-14
PANTONE 7651 C,12549,28,33,-16
PANTONE 7652 C,12550,25,29,-14
PANTONE 7653 C,12551,58,7,-6
PANTONE 7654 C,12552,55,21,-14
PANTONE 7655 C,12553,48,35,-19
PANTONE 7656 C,12554,38,42,-22
PANTONE 7657 C,12555,29,35,-18
PANTONE 7658 C,12556,31,29,-17
PANTONE 7659 C,12557,29,21,-10
PANTONE 7660 C,12558,62,5,-9
PANTONE 7661 C,12559,51,18,-17
PANTONE 7662 C,12560,37,32,-26
PANTONE 7663 C,12561,31,35,-31
PANTONE 7664 C,12562,31,31,-31
PANTONE 7665 C,12563,30,27,-26
PANTONE 7666 C,12564,35,9,-10
PANTONE 7667 C,12565,52,0,-22
PANTONE 7668 C,12566,48,6,-29
PANTONE 7669 C,12567,43,12,-33
PANTONE 7670 C,12568,38,14,-36
PANTONE 7671 C,12569,34,17,-37
PANTONE 7672 C,12570,31,19,-37
PANTONE 7673 C,12571,37,9,-29
PANTONE 7674 C,12572,59,4,-22
PANTONE 7675 C,12573,55,6,-24
PANTONE 7676 C,12574,46,16,-30
PANTONE 7677 C,12575,40,23,-32
PANTONE 7678 C,12576,36,25,-35
PANTONE 7679 C,12577,31,23,-36
PANTONE 7680 C,12578,27,27,-36
PANTONE 7681 C,12579,68,-3,-21
PANTONE 7682 C,12580,55,-2,-30
PANTONE 7683 C,12581,45,-1,-38
PANTONE 7684 C,12582,39,1,-39
PANTONE 7685 C,12583,36,3,-42
PANTONE 7686 C,12584,33,1,-42
PANTONE 7687 C,12585,29,9,-47
PANTONE 7688 C,12586,59,-15,-34
PANTONE 7689 C,12587,56,-17,-35
PANTONE 7690 C,12588,46,-14,-36
PANTONE 7691 C,12589,39,-9,-37
PANTONE 7692 C,12590,34,-8,-35
PANTONE 7693 C,12591,29,-6,-33
PANTONE 7694 C,12592,26,-6,-29
PANTONE 7695 C,12593,66,-12,-16
PANTONE 7696 C,12594,60,-14,-17
PANTONE 7697 C,12595,53,-14,-20
PANTONE 7698 C,12596,46,-12,-20
PANTONE 7699 C,12597,41,-12,-21
PANTONE 7700 C,12598,36,-13,-25
PANTONE 7701 C,12599,34,-14,-25
PANTONE 7702 C,12600,64,-23,-24
PANTONE 7703 C,12601,59,-27,-27
PANTONE 7704 C,12602,51,-21,-30
PANTONE 7705 C,12603,43,-17,-29
PANTONE 7706 C,12604,41,-16,-29
PANTONE 7707 C,12605,38,-17,-23
PANTONE 7708 C,12606,33,-16,-21
PANTONE 7709 C,12607,68,-24,-13
PANTONE 7710 C,12608,62,-34,-19
PANTONE 7711 C,12609,57,-30,-19
PANTONE 7712 C,12610,50,-25,-22
PANTONE 7713 C,12611,48,-27,-16
PANTONE 7714 C,12612,45,-26,-14
PANTONE 7715 C,12613,38,-24,-12
PANTONE 7716 C,12614,56,-37,-6
PANTONE 7717 C,12615,50,-34,-5
PANTONE 7718 C,12616,45,-30,-7
PANTONE 7719 C,12617,41,-29,-6
PANTONE 7720 C,12618,37,-28,-3
PANTONE 7721 C,12619,35,-24,-8
PANTONE 7722 C,12620,31,-23,-6
PANTONE 7723 C,12621,62,-33,8
PANTONE 7724 C,12622,55,-44,12
PANTONE 7725 C,12623,49,-43,18
PANTONE 7726 C,12624,45,-40,17
PANTONE 7727 C,12625,41,-37,15
PANTONE 7728 C,12626,38,-35,12
PANTONE 7729 C,12627,33,-29,5
PANTONE 7730 C,12628,56,-34,20
PANTONE 7731 C,12629,50,-41,25
PANTONE 7732 C,12630,45,-42,23
PANTONE 7733 C,12631,41,-38,18
PANTONE 7734 C,12632,37,-27,12
PANTONE 7735 C,12633,34,-18,12
PANTONE 7736 C,12634,33,-15,7
PANTONE 7737 C,12635,62,-34,47
PANTONE 7738 C,12636,60,-43,41
PANTONE 7739 C,12637,57,-46,36
PANTONE 7740 C,12638,53,-40,34
PANTONE 7741 C,12639,51,-35,31
PANTONE 7742 C,12640,46,-26,26
PANTONE 7743 C,12641,41,-21,20
PANTONE 7744 C,12642,74,-14,71
PANTONE 7745 C,12643,69,-12,63
PANTONE 7746 C,12644,62,-11,52
PANTONE 7747 C,12645,57,-12,46
PANTONE 7748 C,12646,52,-10,39
PANTONE 7749 C,12647,47,-7,32
PANTONE 7750 C,12648,42,-7,26
PANTONE 7751 C,12649,74,-2,55
PANTONE 7752 C,12650,73,1,68
PANTONE 7753 C,12651,67,3,64
PANTONE 7754 C,12652,57,2,50
PANTONE 7755 C,12653,50,0,40
PANTONE 7756 C,12654,43,-1,29
PANTONE 7757 C,12655,40,-1,25
PANTONE 7758 C,12656,78,-6,77
PANTONE 7759 C,12657,72,-4,73
PANTONE 7760 C,12658,55,-3,47
PANTONE 7761 C,12659,47,-5,31
PANTONE 7762 C,12660,41,-9,23
PANTONE 7763 C,12661,38,-6,18
PANTONE 7764 C,12662,35,-5,18
PANTONE 7765 C,12663,72,-8,66
PANTONE 7766 C,12664,69,-7,65
PANTONE 7767 C,12665,64,-4,56
PANTONE 7768 C,12666,53,0,41
PANTONE 7769 C,12667,42,1,27
PANTONE 7770 C,12668,38,0,20
PANTONE 7771 C,12669,31,-1,13
PANTONE 8001 C,12670,58,0,0
PANTONE 8002 C,12671,55,2,5
PANTONE 8003 C,12672,54,3,7
PANTONE 8004 C,12673,52,3,12
PANTONE 8005 C,12674,50,5,15
PANTONE 8006 C,12675,49,6,18
PANTONE 801 C,12676,59,-22,-36
PANTONE 802 C,12677,76,-62,64
PANTONE 8020 C,12678,58,5,10
PANTONE 8021 C,12679,57,10,13
PANTONE 8022 C,12680,54,18,24
PANTONE 8023 C,12681,50,26,31
PANTONE 8024 C,12682,48,31,40
PANTONE 8025 C,12683,45,33,42
PANTONE 803 C,12684,92,-6,89
PANTONE 804 C,12685,77,26,58
PANTONE 8040 C,12686,60,1,2
PANTONE 8041 C,12687,57,8,7
PANTONE 8042 C,12688,55,12,11
PANTONE 8043 C,12689,52,20,16
PANTONE 8044 C,12690,48,27,25
PANTONE 8045 C,12691,46,28,28
PANTONE 805 C,12692,66,54,25
PANTONE 806 C,12693,60,77,-19
PANTONE 8060 C,12694,58,8,-3
PANTONE 8061 C,12695,55,14,0
PANTONE 8062 C,12696,52,21,1
PANTONE 8063 C,12697,49,29,5
PANTONE 8064 C,12698,47,29,8
PANTONE 8065 C,12699,45,30,13
