PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 140 C,10406,38,9,35
PANTONE 1405 C,10407,36,10,32
PANTONE 141 C,10408,83,6,57
PANTONE 142 C,10409,80,10,63
PANTONE 143 C,10410,78,14,68
PANTONE 144 C,10411,68,32,72
PANTONE 145 C,10412,61,26,66
PANTONE 146 C,10413,52,18,54
PANTONE 147 C,10414,41,4,31
PANTONE 148 C,10415,85,12,39
PANTONE 1485 C,10416,78,25,50
PANTONE 149 C,10417,83,17,43
PANTONE 1495 C,10418,71,37,71
PANTONE 150 C,10419,79,22,55
PANTONE 1505 C,10420,63,55,72
PANTONE 151 C,10421,68,44,74
PANTONE 152 C,10422,61,42,68
PANTONE 1525 C,10423,46,44,56
PANTONE 153 C,10424,54,30,56
PANTONE 1535 C,10425,39,31,45
PANTONE 154 C,10426,45,23,45
PANTONE 1545 C,10427,29,17,28
PANTONE 155 C,10428,85,6,28
PANTONE 1555 C,10429,81,22,30
PANTONE 156 C,10430,80,11,39
PANTONE 1565 C,10431,75,32,43
PANTONE 157 C,10432,73,22,50
PANTONE 1575 C,10433,68,46,62
PANTONE 158 C,10434,63,41,62
PANTONE 1585 C,10435,64,55,69
PANTONE 159 C,10436,54,40,57
PANTONE 1595 C,10437,56,45,59
PANTONE 160 C,10438,45,28,45
PANTONE 1605 C,10439,46,31,43
PANTONE 161 C,10440,30,13,24
PANTONE 1615 C,10441,39,27,35
PANTONE 162 C,10442,83,21,24
PANTONE 1625 C,10443,76,32,27
PANTONE 163 C,10444,74,33,40
PANTONE 1635 C,10445,71,41,36
PANTONE 164 C,10446,68,46,55
PANTONE 1645 C,10447,64,55,53
PANTONE 165 C,10448,64,56,65
PANTONE 1655 C,10449,59,65,70
PANTONE 166 C,10450,55,55,64
PANTONE 1665 C,10451,52,58,62
PANTONE 167 C,10452,49,42,50
PANTONE 1675 C,10453,43,41,43
PANTONE 168 C,10454,32,24,29
PANTONE 1685 C,10455,34,30,32
PANTONE 169 C,10456,80,27,16
PANTONE 170 C,10457,70,45,31
PANTONE 171 C,10458,62,61,53
PANTONE 172 C,10459,58,67,64
PANTONE 173 C,10460,50,53,51
PANTONE 174 C,10461,37,39,34
PANTONE 175 C,10462,29,24,18
